,Model,mae_test,mae_train,mape_test,mape_train,r2_test,r2_train,rms_test,rms_train
0,RandomForestRegression C0,2669.040283440698,952.7641751885313,30.853054827043607,7.773795114516805,0.8343699094960575,0.9792258943128328,3902.5726733312645,1783.1619085690422
0,RandomForestRegression C1,2376.1422411067397,1176.6505869946027,14.478468707626268,7.66616448965672,0.8802807246115968,0.9692675098163964,4391.428746804567,1930.1984065474917
0,RandomForestRegression C2,2574.716765913895,1083.4849928961169,59.96412987676375,21.434679662217466,0.8524163362451073,0.9725759823236333,4418.338811363504,1935.1726908654489
