,Model,mae_test,mae_train,mape_test,mape_train,r2_test,r2_train,rms_test,rms_train
0,Linear Regression,4604.561515533001,4050.9997298408894,38.520760681663354,41.65134552363163,0.7487221138458922,0.7482347656896258,6967.730570236392,5810.658032005804
0,Random Forest Regression,2807.1334872715242,971.7820263283506,26.342407658110332,11.293809362988922,0.8553794627620321,0.9754379018672322,5286.024834919258,1814.9312087961823
0,Gradient Boosting Regression,2807.1334872715242,971.7820263283506,26.342407658110332,11.293809362988922,0.8553794627620321,0.9754379018672322,5286.024834919258,1814.9312087961823
